feature,stunting,wasting,anemia,mean_importance
und_maternal_height_cm,10.97511768661735,9.39983557138942,12.630906768837805,11.001953342281524
imm_child_age_months,10.517821116341628,11.921074266922444,8.914431673052363,10.451109018772145
und_maternal_bmi,10.27572293207801,10.331597697999452,10.510855683269476,10.372725437782313
und_maternal_weight_kg,9.966375252185609,10.030145245272678,10.127713920817369,10.041411472758552
imm_birth_interval,7.881640887693342,6.44012058098109,8.492975734355044,7.604912401009824
und_maternal_age,6.254203093476798,5.617977528089887,6.283524904214559,6.051901841927081
und_maternal_edu_years,5.527908540685945,4.384762948753083,4.980842911877394,4.9645048004388075
district_mean_age,3.698722259583053,6.796382570567279,3.895274584929757,4.796793138360029
district_stunting_rate,5.164761264290518,5.563167991230475,3.422733077905492,4.716887444475495
district_mean_wealth,4.263618022864828,4.247739106604549,5.389527458492975,4.633628195987451
district_mean_mat_height,4.303967720242098,5.864620443957248,3.0268199233716477,4.398469362523664
enc_district,3.4566240753194353,4.57659632776103,4.252873563218391,4.095364655432952
und_household_size,3.5642232683254873,3.781858043299534,4.6615581098339725,4.002546473819664
enc_size_at_birth,3.160726294552791,2.2197862428062485,1.7752234993614304,2.3852453455734897
enc_wealth_index,2.1654337592468056,1.8361194847903537,2.1839080459770113,2.061820430004724
enc_religion,2.0847343644922667,1.1235955056179776,2.1711366538952745,1.7931555080018395
enc_child_sex,1.4929388029589779,1.3428336530556317,1.3665389527458494,1.4007704695868197
und_total_children,1.2508406186953598,1.2058098109070978,1.6475095785440614,1.3680533360488394
enc_region,0.941492938802959,0.9043573581803234,1.2388250319284801,1.028225109637254
imm_birth_order,1.1028917283120376,0.6303096738832557,1.2388250319284801,0.9906754780412578
enc_had_diarrhea,0.7800941492938803,0.5755001370238422,0.9578544061302682,0.7711495641493302
enc_residence,0.3093476798924008,0.9865716634694436,0.02554278416347382,0.4404873758417727
enc_edu_level,0.4034969737726967,0.21923814743765419,0.4086845466155811,0.34380655594197734
imm_first_born,0.4169468728984532,0.0,0.22988505747126436,0.21561064345657255
enc_age_band,0.04034969737726967,0.0,0.07662835249042146,0.03899268328923038
und_low_bmi,0.0,0.0,0.07662835249042146,0.02554278416347382
und_maternal_stunted,0.0,0.0,0.01277139208173691,0.004257130693912303
imm_high_birth_order,0.0,0.0,0.0,0.0
imm_short_interval,0.0,0.0,0.0,0.0
