feature,importance,importance_pct
imm_child_age_months,693,7.7
und_maternal_height_cm,652,7.244444444444445
und_maternal_bmi,588,6.533333333333332
spatial_lag_stunting,577,6.4111111111111105
und_maternal_weight_kg,538,5.977777777777778
imm_birth_interval,408,4.533333333333333
Malaria_Prevalence_2020,405,4.5
Enhanced_Vegetation_Index_2020,365,4.055555555555555
und_maternal_age,365,4.055555555555555
Elevation,345,3.833333333333333
UN_Population_Density_2020,328,3.644444444444445
Travel_Times,285,3.166666666666667
Wet_Days_2020,261,2.9000000000000004
Mean_Temperature_2020,260,2.888888888888889
ITN_Coverage_2020,257,2.8555555555555556
und_maternal_edu_years,253,2.811111111111111
und_household_size,253,2.811111111111111
Aridity_2020,241,2.677777777777778
Nightlights_Composite,230,2.555555555555556
enc_size_at_birth,228,2.533333333333333
Precipitation_2020,202,2.2444444444444445
district_stunting_rate,161,1.7888888888888888
district_mean_mat_height,142,1.577777777777778
enc_wealth_index,127,1.411111111111111
district_mean_age,124,1.3777777777777778
enc_religion,111,1.2333333333333334
district_mean_wealth,104,1.1555555555555554
enc_child_sex,102,1.1333333333333333
enc_district,102,1.1333333333333333
und_total_children,88,0.9777777777777777
imm_birth_order,67,0.7444444444444445
enc_had_diarrhea,53,0.5888888888888889
enc_edu_level,33,0.36666666666666664
Growing_Season_Length,23,0.2555555555555556
imm_first_born,17,0.18888888888888888
enc_region,8,0.08888888888888889
enc_age_band,3,0.03333333333333333
und_maternal_stunted,1,0.011111111111111112
imm_high_birth_order,0,0.0
imm_short_interval,0,0.0
und_low_bmi,0,0.0
enc_residence,0,0.0
