feature,importance
und_maternal_weight_kg,962
und_maternal_height_cm,954
imm_child_age_months,909
und_maternal_bmi,878
imm_birth_interval,666
und_maternal_age,600
enc_district,558
und_maternal_edu_years,481
und_household_size,290
enc_size_at_birth,262
enc_wealth_index,240
enc_religion,201
enc_region,149
enc_child_sex,142
und_total_children,118
imm_birth_order,85
enc_had_diarrhea,82
enc_residence,51
enc_edu_level,41
imm_first_born,22
enc_age_band,3
und_low_bmi,1
imm_high_birth_order,0
imm_short_interval,0
und_maternal_stunted,0
