feature,importance
und_maternal_height_cm,816
imm_child_age_months,782
und_maternal_bmi,764
und_maternal_weight_kg,741
imm_birth_interval,586
und_maternal_age,465
und_maternal_edu_years,411
district_stunting_rate,384
district_mean_mat_height,320
district_mean_wealth,317
district_mean_age,275
und_household_size,265
enc_district,257
enc_size_at_birth,235
enc_wealth_index,161
enc_religion,155
enc_child_sex,111
und_total_children,93
imm_birth_order,82
enc_region,70
enc_had_diarrhea,58
imm_first_born,31
enc_edu_level,30
enc_residence,23
enc_age_band,3
und_maternal_stunted,0
und_low_bmi,0
imm_short_interval,0
imm_high_birth_order,0
