str_district,imm_child_age_months,enc_age_band,enc_child_sex,imm_birth_order,imm_birth_interval,imm_first_born,imm_short_interval,imm_high_birth_order,enc_size_at_birth,enc_had_diarrhea,und_maternal_age,und_maternal_edu_years,enc_edu_level,und_maternal_weight_kg,und_maternal_height_cm,und_maternal_bmi,und_low_bmi,und_maternal_stunted,und_total_children,und_household_size,enc_wealth_index,enc_residence,enc_region,enc_district,enc_religion,district_stunting_rate,district_mean_age,district_mean_wealth,district_mean_mat_height,stunting_rate,cluster,cluster_label
neno,0.039984553614526,0.024051470109099242,0.007547831195792497,0.003024287153328389,0.0110758236680314,0.004644360771789617,0.00047618080093824025,0.0004985559977146557,0.006536373565333233,0.004206190361341325,0.006979774372012394,0.014447170293745386,0.008779753911112758,0.027748323707261525,0.05143558881893826,0.011314125350817801,0.0009132748357190662,0.001130317613721843,0.0028918224727181824,0.006847850821993479,0.012257007153078496,0.0007538027295454294,0.0017799667053595056,0.00247588762208037,0.004689382782961695,0.0408812525452214,0.0029493301367128446,0.00449742631155576,0.00416481027862088,0.45925925925925926,1,Cluster B
ntcheu,0.039143615076707196,0.027143910341047725,0.007700315230611651,0.0037965453755834946,0.013858862279822,0.0046362366387971594,0.000763445115634453,0.00046474739694481095,0.006333650772460142,0.003912947791955909,0.009587132444855647,0.014468220967900333,0.008691848650882177,0.0335420654027809,0.05340370334370856,0.013725030277257829,0.0010588287469939428,0.0007678983460686993,0.0031205758411859057,0.007344671622546829,0.011926717638733885,0.0006191200113708843,0.0017238275175144545,0.003546353550562594,0.005429480692452236,0.04276138710282749,0.005456718830672944,0.004531861557296755,0.00463301276721699,0.4444444444444444,1,Cluster B
mwanza,0.04053526420434401,0.026153057074013948,0.007927336721235018,0.0033145562922763045,0.010890479695877453,0.004837654248307516,0.0007605217015565988,0.000524471719220473,0.006421834984487453,0.0039061976601796992,0.007932170370765497,0.012575103126290335,0.007300181744797107,0.025420648103661903,0.049826963641993044,0.010831807521414107,0.0013467301542456577,0.0008470738070482898,0.0033564216749834416,0.007150325561722167,0.01135555926657478,0.0009689983726641203,0.0015184494956066727,0.003298529657426683,0.004926366549548653,0.03770474870914879,0.004132402843200309,0.0037894110483338555,0.003142177295114567,0.43356643356643354,1,Cluster B
dowa,0.04060585025306192,0.02990018402161579,0.010023900009823832,0.00387754449057486,0.012598870668504002,0.005176624627267254,0.0007453310053640415,0.0005727413285763911,0.007469313480245138,0.00341506103047427,0.009307259879902286,0.01056108092016779,0.008226105790500237,0.027783997017071713,0.049487188377328864,0.012421486033965442,0.0005817281632529774,0.0007600356923246374,0.0038332943252795846,0.007796597282604874,0.01108748221902643,0.001336520032639081,0.002405299287762909,0.004542209747720016,0.004336135379552631,0.03573263940903717,0.004949926246587106,0.004658492014643912,0.0039046141146091774,0.43283582089552236,1,Cluster B
mchinji,0.03947202605311133,0.02700338045802946,0.008018422718229053,0.003724765030131524,0.012226883167577751,0.004352367822069184,0.0006582675577477478,0.000495909518772938,0.007231808300414798,0.004576977525175535,0.010670100452745862,0.014845257179336994,0.006861040097515386,0.02995742572790504,0.050123852294758076,0.01342968455909313,0.0008422629140467946,0.0007270653608008864,0.0042654015400491315,0.008590792260502739,0.016677307811794096,0.001093386062146053,0.001903584446993235,0.004331809258562477,0.004784712674576393,0.028542916360060854,0.0073971577538336965,0.004876188515670132,0.003034038956334834,0.4295774647887324,0,Cluster A
kasungu,0.036098152054837865,0.024867795652512098,0.009139519699900074,0.004344733797283663,0.012082512302626488,0.004888085760978134,0.0007366502049155838,0.0007105907013085198,0.008267996339258085,0.006961469021089427,0.00977735040044635,0.014064590049513652,0.008893477426444559,0.02833590399465535,0.045309644496696506,0.015079426068632816,0.0008230750387905762,0.0010211644423432334,0.00453619050737803,0.008768387497927703,0.014691665764290969,0.0012377095066102213,0.001996452871074406,0.005293040117425709,0.004556184256578927,0.024856715629589278,0.008644012619804995,0.005297763793760049,0.005575618896560515,0.4207650273224044,0,Cluster A
thyolo,0.046825286579813226,0.031854609257661856,0.007226680916539166,0.0036518315184122375,0.013636290309787882,0.004050685005454657,0.0007711576705634933,0.0005204401192158749,0.007792918793819551,0.004301864222416069,0.009084148148925882,0.014442861577450252,0.006435650610077918,0.02665318885088922,0.04773515727849635,0.01356972923067825,0.0007554145560637951,0.0010965401712236022,0.003733399022169757,0.007973055496379283,0.013347266096779688,0.0007095746327598031,0.001608323765147223,0.005295714118539862,0.004617212441956748,0.023022299368482983,0.0047239798374225745,0.005095085772259813,0.009169005096036908,0.42038216560509556,1,Cluster B
chitipa,0.03755628026714197,0.025179355703217186,0.00847805533560424,0.0034876452367744747,0.01140756272898075,0.004520595946225864,0.0009956323963249694,0.0004573553841666985,0.006813282302170535,0.0029584021742663806,0.009057559040828757,0.012735477023370446,0.008050118573320617,0.03196098908625024,0.05867023755600383,0.012171508875776699,0.0008243087087264943,0.0005991264577467167,0.002969039187736396,0.007071986762189713,0.011089243345610681,0.0011404662911473171,0.0019505584982432197,0.003165657762203795,0.004193409426770028,0.025973201000868307,0.0031696178366697517,0.004700123552751245,0.002566254990569941,0.41333333333333333,1,Cluster B
zomba,0.03373393275244016,0.02230278970237914,0.009244639846572563,0.004095716955126807,0.013287898379912283,0.005268642457441343,0.0008251117011097948,0.0006858457955519521,0.0078368479808937,0.005491024156713475,0.00960071900947101,0.012190010459566311,0.005793772787376084,0.03846901858110211,0.04985955712040983,0.015328796832793442,0.001428025115020674,0.0011803529151686578,0.0041534655232368075,0.00769122430192868,0.011715251118434439,0.0005923360590852216,0.0020052627866630605,0.005894315663279237,0.00510585489294975,0.012111620050557445,0.007056642283861932,0.005624276260992348,0.003015922586226664,0.40625,0,Cluster A
phalombe,0.03451604840972543,0.02368573101681919,0.0071783482688073915,0.00407179750535561,0.013587283070293422,0.004935670768954181,0.0008066657807472752,0.0008058901594660311,0.0071511726652166065,0.0058904751023922146,0.008728526553538818,0.009694699880780458,0.004196921585318925,0.03127366970792286,0.05355766219084825,0.013459542725146349,0.001265132150687129,0.0007850986247425363,0.004420937700314784,0.008177297972030005,0.007468086787491167,0.0006647943500592023,0.0019754136746613447,0.007531023312330429,0.00632774582012994,0.011325699847652604,0.006910407687848457,0.006620292926878793,0.007181890129172821,0.4034090909090909,1,Cluster B
